"ticker", "cfo_name", "first_call_date", "last_call_date", "total_calls"
"MS-N", "Jerry-Crenshaw", "2004-05-06", "2006-11-07", "5"
"MS-N", "John-Pruzan", "2015-07-20", "2015-10-19", "2"
"MS-N", "Rob-Eastep", "2004-04-23", "2006-05-09", "6"
"MS-N", "Robert-Eastep", "2004-10-29", "2005-08-09", "3"
"MSA-N", "Ruth-Porat", "2010-04-21", "2015-04-20", "21"
"MSCC-OQ", "Stacy-McMahan", "2014-07-24", "2015-07-23", "5"
"MSCC-OQ", "Dave-Sonksen", "2004-01-22", "2007-11-15", "13"
"MSCC-OQ", "David-Sonksen", "2006-11-16", "2006-11-16", "1"
"MSCC-OQ", "Greg-Haugen", "2004-02-24", "2005-10-20", "6"
"MSCI-N", "John-Hohener", "2008-04-24", "2015-11-05", "30"
"MSCI-N", "David-Obstler", "2010-07-01", "2012-08-02", "9"
"MSCI-N", "Michael-Neborak", "2008-04-09", "2010-07-01", "10"
"MSFT-OQ", "Robert-Qutub", "2012-08-02", "2015-10-29", "13"
"MSFT-OQ", "Amy-Hood", "2013-07-18", "2015-10-22", "10"
"MSFT-OQ", "Chris-Liddell", "2005-07-21", "2009-10-23", "17"
"MSFT-OQ", "John-Connors", "2004-01-22", "2005-01-27", "4"
"MSI-N", "Peter-Klein", "2010-01-28", "2013-04-18", "14"
"MSI-N", "Bill-Nuti", "2005-05-03", "2005-05-03", "1"
"MSI-N", "David-Devonshire", "2004-01-20", "2007-01-19", "12"
"MSI-N", "Ed-Fitzpatrick", "2009-02-03", "2013-07-24", "17"
"MSI-N", "Gino-Bonanotte", "2013-10-23", "2015-11-04", "9"
"MSI-N", "Mark-Greenquist", "2004-03-04", "2005-03-02", "5"
"MSI-N", "Mike-Staiger", "2004-02-24", "2004-11-01", "4"
"MSI-N", "Paul-Liska", "2008-04-24", "2008-10-30", "3"
"MSI-N", "Randy-Gausman", "2004-02-02", "2006-01-31", "9"
"MSI-N", "Sal-Iannuzzi", "2005-08-01", "2005-11-02", "2"
"MSI-N", "Scott-Spangenberg", "2006-05-10", "2006-11-07", "3"
"MSI-N", "Tim-Yates", "2006-05-02", "2006-08-01", "2"
"MSM-N", "Tom-Meredith", "2007-04-18", "2008-01-23", "4"
"MSM-N", "Chuck-Boehlke", "2004-01-08", "2011-04-06", "30"
